truth turnovers: [(155.42, 'A')]
 #       t lost>won   hold  prev  speed  dist nopp         ballpx  note
 1    40.6    A>B      2.1   5.9    8.4  5.27    0 [1486.9, 550.8]  
 2    42.7    B>A      5.8   2.1    6.6  6.77    0 [1419.7, 459.6]  
 3    91.0    A>B      6.0   9.8   20.8   2.1    1 [972.4, 462.4]  
 4   110.3    B>A      6.0  10.0    6.7  None None [1440.1, 472.1]  
 5   117.7    A>B      2.8   7.0    8.5  1.52    1 [1481.8, 831.1]  
 6   121.8    B>A      6.0   2.8    9.5  None None [1495.7, 643.7]  
 7   138.6    A>B      2.8   6.8    3.0  None None [274.0, 729.5]  
 8   142.0    B>A      6.0   2.8    1.3  8.42    0 [503.5, 765.8]  
 9   150.8    A>B      6.0   8.8    4.7  None None [1114.5, 401.8]  
MISSED truth turnover at 155.42 (A lost): possession -4s..+4s = BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
